nhd_id,n_prof,n_obs
1097324,247,4645
1099052,293,3482
1099136,296,4993
1099172,303,4266
1099240,285,2485
1099282,246,2321
1099420,302,3525
1099430,236,3120
1099432,289,4682
1099450,274,2915
1099476,317,3737
1099526,312,3677
1100962,262,3739
1101504,311,5561
1101506,238,1354
1101544,313,2547
1101590,318,6741
1101616,349,5411
1101636,342,3282
1101684,353,8111
1101754,350,7856
1101778,323,2315
1101812,338,2874
1101864,217,5244
1101938,284,4303
1101942,230,4917
1102086,234,5120
1102088,228,2439
1102284,268,3372
1102366,206,2402
2349188,309,4823
2349198,261,2943
2353946,230,1771
2384584,289,3853
2384766,219,3426
2385444,228,2839
2385496,232,2611
2385648,212,2012
2647582,233,4564
2648034,250,1535
2723765,245,3939
2723803,243,2805
2723871,212,5053
4250586,261,3944
4250588,299,2709
9022741,270,3360
10596466,209,2087
12160852,228,2571
12162854,241,4741
13290898,202,3696
13293262,2717,61052
13294464,250,1851
13294928,306,5160
13343906,627,20484
13344056,623,4947
13344170,625,12304
13344210,626,11790
13344284,607,12026
13393533,229,1152
13393567,208,1773
13631637,323,6859
14783883,248,2340
120051922,478,8193
120052022,360,4267
120052233,546,14282
120052351,381,8774
120052587,279,2164
120053694,203,1347
